sku,product_name,brand,category_l1,category_l2,storage_type,width_cm,height_cm,depth_cm,facing_count,required_width_cm,reason_code,reason,severity,suggested_action,suggested_storage_type,storage_fix_reason,storage_changed
MRK.04178,Beypazarı Natural Mineral Water 6 x 200 ml,Beypazarı,Beverages,Water,CHILLED,34,24,24.0,1,37,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_beverage_category,True
MRK.01330,Sütaş Lactose Free Milk 1 L,Sütaş,Dairy / Chilled / Eggs,Milk,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_uht_milk_like,True
MRK.02514,İçim Rahat Semi-Skimmed Lactose-Free Milk 1 L,İçim,Dairy / Chilled / Eggs,Milk,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_uht_milk_like,True
MRK.06274,Milagro Cluster Tomato 600 g,Milagro,Produce,Vegetables,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_crate_produce,True
MRK.01923,Namet 7/24 Smoked Turkey 60 g,Namet,Dairy / Chilled / Eggs,Deli / Snacking,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.03462,Milagro Arugula 50 g,Milagro,Produce,Prepared F&V / Fresh Herbs,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_leafy_herb_produce,False
4V2Q1A,Milagro Lemon 2 Piece,Milagro,Produce,Fruit,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_crate_produce,True
MRK.03239,Namet Smoked Chicken 50 g,Namet,Dairy / Chilled / Eggs,Deli / Snacking,CHILLED,8,12,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.03461,Milagro Maydanoz Adet 50 g,Milagro,Produce,Prepared F&V / Fresh Herbs,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_leafy_herb_produce,False
MRK.03362,Milagro Local Banana 600 g g,Milagro,Produce,Fruit,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_crate_produce,True
